"iter","env2_sgd_2500-3000 - EMA/CV","env2_sgd_2500-3000 - EMA/CV__MIN","env2_sgd_2500-3000 - EMA/CV__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - EMA/CV","env2_lion_shock_2500-3000 - EMA/CV__MIN","env2_lion_shock_2500-3000 - EMA/CV__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - EMA/CV","env2_muon_shock_2500-3000 - EMA/CV__MIN","env2_muon_shock_2500-3000 - EMA/CV__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - EMA/CV","env2_adamw_shock_2500-3000 - EMA/CV__MIN","env2_adamw_shock_2500-3000 - EMA/CV__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"2500","0.5053288476748983","0.5053288476748983","0.5053288476748983","59","59","59","0.4047369265794864","0.4047369265794864","0.4047369265794864","59","59","59","0.34207202067104303","0.34207202067104303","0.34207202067104303","59","59","59","0.5329787972068583","0.5329787972068583","0.5329787972068583","59","59","59"
"2505","1.1299301526320544","1.1299301526320544","1.1299301526320544","60","60","60","0.9187756839446964","0.9187756839446964","0.9187756839446964","60","60","60","0.8008354517815459","0.8008354517815459","0.8008354517815459","60","60","60","1.045716706321969","1.045716706321969","1.045716706321969","60","60","60"
"2510","1.2014753000159153","1.2014753000159153","1.2014753000159153","61","61","61","1.0821098780222749","1.0821098780222749","1.0821098780222749","61","61","61","0.771977341476198","0.771977341476198","0.771977341476198","61","61","61","1.0790663125666047","1.0790663125666047","1.0790663125666047","61","61","61"
"2515","1.138149484475614","1.138149484475614","1.138149484475614","62","62","62","1.0433430375327435","1.0433430375327435","1.0433430375327435","62","62","62","0.7442094166324804","0.7442094166324804","0.7442094166324804","62","62","62","1.0504285179570683","1.0504285179570683","1.0504285179570683","62","62","62"
"2520","0.9936642511106437","0.9936642511106437","0.9936642511106437","63","63","63","1.0082404846190394","1.0082404846190394","1.0082404846190394","63","63","63","0.7263678829825055","0.7263678829825055","0.7263678829825055","63","63","63","0.9181351265835698","0.9181351265835698","0.9181351265835698","63","63","63"
"2525","0.894920248115167","0.894920248115167","0.894920248115167","64","64","64","0.9853576659546074","0.9853576659546074","0.9853576659546074","64","64","64","0.6962619871436941","0.6962619871436941","0.6962619871436941","64","64","64","0.8305585379113983","0.8305585379113983","0.8305585379113983","64","64","64"
"2530","0.7778366860870527","0.7778366860870527","0.7778366860870527","65","65","65","0.8653064832366415","0.8653064832366415","0.8653064832366415","65","65","65","0.6299775754027568","0.6299775754027568","0.6299775754027568","65","65","65","0.699388345107083","0.699388345107083","0.699388345107083","65","65","65"
"2535","0.6818812313758489","0.6818812313758489","0.6818812313758489","66","66","66","0.7809126746244592","0.7809126746244592","0.7809126746244592","66","66","66","0.5668684384379618","0.5668684384379618","0.5668684384379618","66","66","66","0.6319045522893989","0.6319045522893989","0.6319045522893989","66","66","66"
"2540","0.599613919678169","0.599613919678169","0.599613919678169","67","67","67","0.6851060746185603","0.6851060746185603","0.6851060746185603","67","67","67","0.5276074261290755","0.5276074261290755","0.5276074261290755","67","67","67","0.543652095130683","0.543652095130683","0.543652095130683","67","67","67"
"2545","0.5366336739611003","0.5366336739611003","0.5366336739611003","68","68","68","0.6462390998838646","0.6462390998838646","0.6462390998838646","68","68","68","0.48736482782348306","0.48736482782348306","0.48736482782348306","68","68","68","0.5309310060480568","0.5309310060480568","0.5309310060480568","68","68","68"
"2550","0.5157499529696724","0.5157499529696724","0.5157499529696724","69","69","69","0.6003280391244809","0.6003280391244809","0.6003280391244809","69","69","69","0.45074214746982966","0.45074214746982966","0.45074214746982966","69","69","69","0.49725359128008867","0.49725359128008867","0.49725359128008867","69","69","69"
"2555","0.47962415478440834","0.47962415478440834","0.47962415478440834","70","70","70","0.5579002093384287","0.5579002093384287","0.5579002093384287","70","70","70","0.41567763997701274","0.41567763997701274","0.41567763997701274","70","70","70","0.45776948358637126","0.45776948358637126","0.45776948358637126","70","70","70"
"2560","0.4551428657866299","0.4551428657866299","0.4551428657866299","71","71","71","0.5251326640203913","0.5251326640203913","0.5251326640203913","71","71","71","0.39136370066533754","0.39136370066533754","0.39136370066533754","71","71","71","0.43715312945729246","0.43715312945729246","0.43715312945729246","71","71","71"
"2565","0.4303127430253355","0.4303127430253355","0.4303127430253355","72","72","72","0.49498398095287066","0.49498398095287066","0.49498398095287066","72","72","72","0.3533896627428361","0.3533896627428361","0.3533896627428361","72","72","72","0.42098898783135275","0.42098898783135275","0.42098898783135275","72","72","72"
"2570","0.42267559000465366","0.42267559000465366","0.42267559000465366","73","73","73","0.4666863453282535","0.4666863453282535","0.4666863453282535","73","73","73","0.340779288055131","0.340779288055131","0.340779288055131","73","73","73","0.3919422608664939","0.3919422608664939","0.3919422608664939","73","73","73"
"2575","0.4095399236345862","0.4095399236345862","0.4095399236345862","74","74","74","0.454410460873193","0.454410460873193","0.454410460873193","74","74","74","0.32606595480387174","0.32606595480387174","0.32606595480387174","74","74","74","0.3745947041962025","0.3745947041962025","0.3745947041962025","74","74","74"
"2580","0.3909965874932582","0.3909965874932582","0.3909965874932582","75","75","75","0.4407764908252949","0.4407764908252949","0.4407764908252949","75","75","75","0.3065063079620614","0.3065063079620614","0.3065063079620614","75","75","75","0.3684656059059888","0.3684656059059888","0.3684656059059888","75","75","75"
"2585","0.388013927503871","0.388013927503871","0.388013927503871","76","76","76","0.4170783141344202","0.4170783141344202","0.4170783141344202","76","76","76","0.3000314477402852","0.3000314477402852","0.3000314477402852","76","76","76","0.3558282977809712","0.3558282977809712","0.3558282977809712","76","76","76"
"2590","0.3880561500891272","0.3880561500891272","0.3880561500891272","77","77","77","0.4086196459183601","0.4086196459183601","0.4086196459183601","77","77","77","0.2954966630692649","0.2954966630692649","0.2954966630692649","77","77","77","0.3295021201718243","0.3295021201718243","0.3295021201718243","77","77","77"
"2595","0.38667059299940304","0.38667059299940304","0.38667059299940304","78","78","78","0.3985609064927962","0.3985609064927962","0.3985609064927962","78","78","78","0.2887649077399258","0.2887649077399258","0.2887649077399258","78","78","78","0.3259186950750023","0.3259186950750023","0.3259186950750023","78","78","78"
"2600","0.368161731899539","0.368161731899539","0.368161731899539","79","79","79","0.38573806035083125","0.38573806035083125","0.38573806035083125","79","79","79","0.2676743684487247","0.2676743684487247","0.2676743684487247","79","79","79","0.32745397484059063","0.32745397484059063","0.32745397484059063","79","79","79"
"2605","0.3657193648045054","0.3657193648045054","0.3657193648045054","80","80","80","0.37800436064233045","0.37800436064233045","0.37800436064233045","80","80","80","0.24305247865375987","0.24305247865375987","0.24305247865375987","80","80","80","0.34110587905634765","0.34110587905634765","0.34110587905634765","80","80","80"
"2610","0.35861311998869644","0.35861311998869644","0.35861311998869644","81","81","81","0.3724809558996099","0.3724809558996099","0.3724809558996099","81","81","81","0.2388894791201433","0.2388894791201433","0.2388894791201433","81","81","81","0.3262795878536542","0.3262795878536542","0.3262795878536542","81","81","81"
