"iter","env2_sgd_2500-3000 - train/loss_instant","env2_sgd_2500-3000 - train/loss_instant__MIN","env2_sgd_2500-3000 - train/loss_instant__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - train/loss_instant","env2_lion_shock_2500-3000 - train/loss_instant__MIN","env2_lion_shock_2500-3000 - train/loss_instant__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - train/loss_instant","env2_muon_shock_2500-3000 - train/loss_instant__MIN","env2_muon_shock_2500-3000 - train/loss_instant__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - train/loss_instant","env2_adamw_shock_2500-3000 - train/loss_instant__MIN","env2_adamw_shock_2500-3000 - train/loss_instant__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"2490","6.242150783538818","6.242150783538818","6.242150783538818","57","57","57","3.749508857727051","3.749508857727051","3.749508857727051","57","57","57","3.891796112060547","3.891796112060547","3.891796112060547","57","57","57","3.729133367538452","3.729133367538452","3.729133367538452","57","57","57"
"2495","6.3284502029418945","6.3284502029418945","6.3284502029418945","58","58","58","3.7891268730163574","3.7891268730163574","3.7891268730163574","58","58","58","3.9233510494232178","3.9233510494232178","3.9233510494232178","58","58","58","3.772052049636841","3.772052049636841","3.772052049636841","58","58","58"
"2500","6.897382736206055","6.897382736206055","6.897382736206055","59","59","59","5.438544750213623","5.438544750213623","5.438544750213623","59","59","59","5.074523448944092","5.074523448944092","5.074523448944092","59","59","59","4.024675369262695","4.024675369262695","4.024675369262695","59","59","59"
"2505","6.385472297668457","6.385472297668457","6.385472297668457","60","60","60","3.319056987762451","3.319056987762451","3.319056987762451","60","60","60","2.9683837890625","2.9683837890625","2.9683837890625","60","60","60","3.272477626800537","3.272477626800537","3.272477626800537","60","60","60"
"2510","5.89095401763916","5.89095401763916","5.89095401763916","61","61","61","2.6532416343688965","2.6532416343688965","2.6532416343688965","61","61","61","2.400233507156372","2.400233507156372","2.400233507156372","61","61","61","2.3305306434631348","2.3305306434631348","2.3305306434631348","61","61","61"
"2515","5.737389087677002","5.737389087677002","5.737389087677002","62","62","62","2.5517892837524414","2.5517892837524414","2.5517892837524414","62","62","62","2.1869311332702637","2.1869311332702637","2.1869311332702637","62","62","62","2.087069034576416","2.087069034576416","2.087069034576416","62","62","62"
"2520","5.061492443084717","5.061492443084717","5.061492443084717","63","63","63","2.050384283065796","2.050384283065796","2.050384283065796","63","63","63","1.8830465078353882","1.8830465078353882","1.8830465078353882","63","63","63","1.7473136186599731","1.7473136186599731","1.7473136186599731","63","63","63"
"2525","4.785041332244873","4.785041332244873","4.785041332244873","64","64","64","1.9432587623596191","1.9432587623596191","1.9432587623596191","64","64","64","1.6904329061508179","1.6904329061508179","1.6904329061508179","64","64","64","1.5614711046218872","1.5614711046218872","1.5614711046218872","64","64","64"
"2530","4.793470859527588","4.793470859527588","4.793470859527588","65","65","65","1.7805041074752808","1.7805041074752808","1.7805041074752808","65","65","65","1.6120754480361938","1.6120754480361938","1.6120754480361938","65","65","65","1.4588121175765991","1.4588121175765991","1.4588121175765991","65","65","65"
"2535","4.474705696105957","4.474705696105957","4.474705696105957","66","66","66","1.7355377674102783","1.7355377674102783","1.7355377674102783","66","66","66","1.525349736213684","1.525349736213684","1.525349736213684","66","66","66","1.3337308168411255","1.3337308168411255","1.3337308168411255","66","66","66"
"2540","4.569103717803955","4.569103717803955","4.569103717803955","67","67","67","1.7453159093856812","1.7453159093856812","1.7453159093856812","67","67","67","1.5700708627700806","1.5700708627700806","1.5700708627700806","67","67","67","1.357311725616455","1.357311725616455","1.357311725616455","67","67","67"
"2545","4.2865681648254395","4.2865681648254395","4.2865681648254395","68","68","68","1.578445553779602","1.578445553779602","1.578445553779602","68","68","68","1.3996399641036987","1.3996399641036987","1.3996399641036987","68","68","68","1.207360863685608","1.207360863685608","1.207360863685608","68","68","68"
"2550","4.205830097198486","4.205830097198486","4.205830097198486","69","69","69","1.490979790687561","1.490979790687561","1.490979790687561","69","69","69","1.3054035902023315","1.3054035902023315","1.3054035902023315","69","69","69","1.1048837900161743","1.1048837900161743","1.1048837900161743","69","69","69"
"2555","4.204494953155518","4.204494953155518","4.204494953155518","70","70","70","1.5037062168121338","1.5037062168121338","1.5037062168121338","70","70","70","1.3264752626419067","1.3264752626419067","1.3264752626419067","70","70","70","1.121630072593689","1.121630072593689","1.121630072593689","70","70","70"
"2560","4.199188232421875","4.199188232421875","4.199188232421875","71","71","71","1.4822680950164795","1.4822680950164795","1.4822680950164795","71","71","71","1.3396722078323364","1.3396722078323364","1.3396722078323364","71","71","71","1.1280479431152344","1.1280479431152344","1.1280479431152344","71","71","71"
"2565","4.325530052185059","4.325530052185059","4.325530052185059","72","72","72","1.537292242050171","1.537292242050171","1.537292242050171","72","72","72","1.3432204723358154","1.3432204723358154","1.3432204723358154","72","72","72","1.1132619380950928","1.1132619380950928","1.1132619380950928","72","72","72"
"2570","4.378476142883301","4.378476142883301","4.378476142883301","73","73","73","1.4884178638458252","1.4884178638458252","1.4884178638458252","73","73","73","1.3214360475540161","1.3214360475540161","1.3214360475540161","73","73","73","1.0891271829605103","1.0891271829605103","1.0891271829605103","73","73","73"
"2575","4.136857032775879","4.136857032775879","4.136857032775879","74","74","74","1.413370132446289","1.413370132446289","1.413370132446289","74","74","74","1.255052089691162","1.255052089691162","1.255052089691162","74","74","74","1.1096220016479492","1.1096220016479492","1.1096220016479492","74","74","74"
"2580","3.958026647567749","3.958026647567749","3.958026647567749","75","75","75","1.2888728380203247","1.2888728380203247","1.2888728380203247","75","75","75","1.1415711641311646","1.1415711641311646","1.1415711641311646","75","75","75","0.9604707360267639","0.9604707360267639","0.9604707360267639","75","75","75"
"2585","3.8477280139923096","3.8477280139923096","3.8477280139923096","76","76","76","1.2316937446594238","1.2316937446594238","1.2316937446594238","76","76","76","1.077859878540039","1.077859878540039","1.077859878540039","76","76","76","0.8815126419067383","0.8815126419067383","0.8815126419067383","76","76","76"
"2590","3.8315517902374268","3.8315517902374268","3.8315517902374268","77","77","77","1.2478018999099731","1.2478018999099731","1.2478018999099731","77","77","77","1.1288679838180542","1.1288679838180542","1.1288679838180542","77","77","77","0.9013217687606812","0.9013217687606812","0.9013217687606812","77","77","77"
"2595","4.018224716186523","4.018224716186523","4.018224716186523","78","78","78","1.323563575744629","1.323563575744629","1.323563575744629","78","78","78","1.1892635822296143","1.1892635822296143","1.1892635822296143","78","78","78","0.969581127166748","0.969581127166748","0.969581127166748","78","78","78"
"2600","3.956847906112671","3.956847906112671","3.956847906112671","79","79","79","1.2330811023712158","1.2330811023712158","1.2330811023712158","79","79","79","1.0916962623596191","1.0916962623596191","1.0916962623596191","79","79","79","0.9724704623222351","0.9724704623222351","0.9724704623222351","79","79","79"
"2605","3.8080685138702393","3.8080685138702393","3.8080685138702393","80","80","80","1.228697657585144","1.228697657585144","1.228697657585144","80","80","80","1.0997538566589355","1.0997538566589355","1.0997538566589355","80","80","80","0.9298482537269592","0.9298482537269592","0.9298482537269592","80","80","80"
"2610","4.017777442932129","4.017777442932129","4.017777442932129","81","81","81","1.1876654624938965","1.1876654624938965","1.1876654624938965","81","81","81","1.0572890043258667","1.0572890043258667","1.0572890043258667","81","81","81","0.8767383694648743","0.8767383694648743","0.8767383694648743","81","81","81"
"2615","4.128507137298584","4.128507137298584","4.128507137298584","82","82","82","1.2021558284759521","1.2021558284759521","1.2021558284759521","82","82","82","1.0618832111358643","1.0618832111358643","1.0618832111358643","82","82","82","0.8539453744888306","0.8539453744888306","0.8539453744888306","82","82","82"
"2620","3.7644968032836914","3.7644968032836914","3.7644968032836914","83","83","83","1.1589421033859253","1.1589421033859253","1.1589421033859253","83","83","83","1.023766279220581","1.023766279220581","1.023766279220581","83","83","83","0.8359806537628174","0.8359806537628174","0.8359806537628174","83","83","83"
"2625","3.793463706970215","3.793463706970215","3.793463706970215","84","84","84","1.152115821838379","1.152115821838379","1.152115821838379","84","84","84","1.0279574394226074","1.0279574394226074","1.0279574394226074","84","84","84","0.844636082649231","0.844636082649231","0.844636082649231","84","84","84"
"2630","3.755000114440918","3.755000114440918","3.755000114440918","85","85","85","1.042040228843689","1.042040228843689","1.042040228843689","85","85","85","0.9105722308158875","0.9105722308158875","0.9105722308158875","85","85","85","0.780558705329895","0.780558705329895","0.780558705329895","85","85","85"
