"iter","env2_sgd_2500-3000 - EMA/Loss","env2_sgd_2500-3000 - EMA/Loss__MIN","env2_sgd_2500-3000 - EMA/Loss__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - EMA/Loss","env2_lion_shock_2500-3000 - EMA/Loss__MIN","env2_lion_shock_2500-3000 - EMA/Loss__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - EMA/Loss","env2_muon_shock_2500-3000 - EMA/Loss__MIN","env2_muon_shock_2500-3000 - EMA/Loss__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - EMA/Loss","env2_adamw_shock_2500-3000 - EMA/Loss__MIN","env2_adamw_shock_2500-3000 - EMA/Loss__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"2200","0.993966611430011","0.993966611430011","0.993966611430011","44","44","44","0.5778290836228352","0.5778290836228352","0.5778290836228352","44","44","44","0.5973062178049179","0.5973062178049179","0.5973062178049179","44","44","44","0.5712748937637133","0.5712748937637133","0.5712748937637133","44","44","44"
"2250","1.010063392795204","1.010063392795204","1.010063392795204","45","45","45","0.5880406875716674","0.5880406875716674","0.5880406875716674","45","45","45","0.6090925703297322","0.6090925703297322","0.6090925703297322","45","45","45","0.5823267310421284","0.5823267310421284","0.5823267310421284","45","45","45"
"2300","0.9612104923029319","0.9612104923029319","0.9612104923029319","46","46","46","0.5700427212198914","0.5700427212198914","0.5700427212198914","46","46","46","0.5887956376618879","0.5887956376618879","0.5887956376618879","46","46","46","0.5660546433891024","0.5660546433891024","0.5660546433891024","46","46","46"
"2350","0.9936506420297129","0.9936506420297129","0.9936506420297129","47","47","47","0.5819309097734834","0.5819309097734834","0.5819309097734834","47","47","47","0.6032468493207298","0.6032468493207298","0.6032468493207298","47","47","47","0.5783174209372651","0.5783174209372651","0.5783174209372651","47","47","47"
"2400","0.9913760275746842","0.9913760275746842","0.9913760275746842","48","48","48","0.5770659307257795","0.5770659307257795","0.5770659307257795","48","48","48","0.595460186515496","0.595460186515496","0.595460186515496","48","48","48","0.5723890957540216","0.5723890957540216","0.5723890957540216","48","48","48"
"2450","0.9921985883356194","0.9921985883356194","0.9921985883356194","49","49","49","0.5644805714708815","0.5644805714708815","0.5644805714708815","49","49","49","0.5877556076910648","0.5877556076910648","0.5877556076910648","49","49","49","0.5622413826596215","0.5622413826596215","0.5622413826596215","49","49","49"
"2455","1.223811925664093","1.223811925664093","1.223811925664093","50","50","50","0.6999995388139175","0.6999995388139175","0.6999995388139175","50","50","50","0.7273916057215322","0.7273916057215322","0.7273916057215322","50","50","50","0.6954464385217776","0.6954464385217776","0.6954464385217776","50","50","50"
"2460","1.3592489122678608","1.3592489122678608","1.3592489122678608","51","51","51","0.7852087392937981","0.7852087392937981","0.7852087392937981","51","51","51","0.8145376060956985","0.8145376060956985","0.8145376060956985","51","51","51","0.781742219278684","0.781742219278684","0.781742219278684","51","51","51"
"2465","1.4263802525707718","1.4263802525707718","1.4263802525707718","52","52","52","0.8293443727752874","0.8293443727752874","0.8293443727752874","52","52","52","0.858587018306469","0.858587018306469","0.858587018306469","52","52","52","0.8248618385348927","0.8248618385348927","0.8248618385348927","52","52","52"
"2470","1.450502878383118","1.450502878383118","1.450502878383118","53","53","53","0.872255707705043","0.872255707705043","0.872255707705043","53","53","53","0.8897715819404584","0.8897715819404584","0.8897715819404584","53","53","53","0.8378802146057438","0.8378802146057438","0.8378802146057438","53","53","53"
"2475","1.4959003928070822","1.4959003928070822","1.4959003928070822","54","54","54","0.8875116763156512","0.8875116763156512","0.8875116763156512","54","54","54","0.9126337872998431","0.9126337872998431","0.9126337872998431","54","54","54","0.8663653557188713","0.8663653557188713","0.8663653557188713","54","54","54"
"2480","1.5213176676202849","1.5213176676202849","1.5213176676202849","55","55","55","0.8928365108059786","0.8928365108059786","0.8928365108059786","55","55","55","0.9240509854447645","0.9240509854447645","0.9240509854447645","55","55","55","0.8807460716352529","0.8807460716352529","0.8807460716352529","55","55","55"
"2485","1.537364197983278","1.537364197983278","1.537364197983278","56","56","56","0.901057299919692","0.901057299919692","0.901057299919692","56","56","56","0.933548130296036","0.933548130296036","0.933548130296036","56","56","56","0.8927377253179278","0.8927377253179278","0.8927377253179278","56","56","56"
"2490","1.5320132636210277","1.5320132636210277","1.5320132636210277","57","57","57","0.907016210802284","0.907016210802284","0.907016210802284","57","57","57","0.9404304466645611","0.9404304466645611","0.9404304466645611","57","57","57","0.9000660361768285","0.9000660361768285","0.9000660361768285","57","57","57"
"2495","1.5374835323297704","1.5374835323297704","1.5374835323297704","58","58","58","0.9144966896182765","0.9144966896182765","0.9144966896182765","58","58","58","0.9476498793932786","0.9476498793932786","0.9476498793932786","58","58","58","0.9086851986657396","0.9086851986657396","0.9086851986657396","58","58","58"
"2500","1.5976069246260116","1.5976069246260116","1.5976069246260116","59","59","59","1.0838556252740585","1.0838556252740585","1.0838556252740585","59","59","59","1.0670301221773464","1.0670301221773464","1.0670301221773464","59","59","59","0.9390370598864022","0.9390370598864022","0.9390370598864022","59","59","59"
"2505","1.5819181426892595","1.5819181426892595","1.5819181426892595","60","60","60","0.9719116069443239","0.9719116069443239","0.9719116069443239","60","60","60","0.9269089957507513","0.9269089957507513","0.9269089957507513","60","60","60","0.8817397561723753","0.8817397561723753","0.8817397561723753","60","60","60"
"2510","1.5232022458404968","1.5232022458404968","1.5232022458404968","61","61","61","0.8392282482214435","0.8392282482214435","0.8392282482214435","61","61","61","0.7873538436164983","0.7873538436164983","0.7873538436164983","61","61","61","0.7537115729685395","0.7537115729685395","0.7537115729685395","61","61","61"
"2515","1.4731746029140553","1.4731746029140553","1.4731746029140553","62","62","62","0.7507348166675243","0.7507348166675243","0.7507348166675243","62","62","62","0.6836176844441325","0.6836176844441325","0.6836176844441325","62","62","62","0.6537660501798346","0.6537660501798346","0.6537660501798346","62","62","62"
"2520","1.3760441155831924","1.3760441155831924","1.3760441155831924","63","63","63","0.648339830200586","0.648339830200586","0.648339830200586","63","63","63","0.5919740572709548","0.5919740572709548","0.5919740572709548","63","63","63","0.5607736768366879","0.5607736768366879","0.5607736768366879","63","63","63"
"2525","1.2910444230352067","1.2910444230352067","1.2910444230352067","64","64","64","0.5771640625711061","0.5771640625711061","0.5771640625711061","64","64","64","0.5185980516930079","0.5185980516930079","0.5185980516930079","64","64","64","0.4872783588974846","0.4872783588974846","0.4872783588974846","64","64","64"
"2530","1.2416959073108182","1.2416959073108182","1.2416959073108182","65","65","65","0.5188600180551406","0.5188600180551406","0.5188600180551406","65","65","65","0.46743450834782374","0.46743450834782374","0.46743450834782374","65","65","65","0.4336142099030357","0.4336142099030357","0.4336142099030357","65","65","65"
"2535","1.1806795859185608","1.1806795859185608","1.1806795859185608","66","66","66","0.4799354288024078","0.4799354288024078","0.4799354288024078","66","66","66","0.42855037645567484","0.42855037645567484","0.42855037645567484","66","66","66","0.3894179364897561","0.3894179364897561","0.3894179364897561","66","66","66"
"2540","1.1540898604694465","1.1540898604694465","1.1540898604694465","67","67","67","0.45792866229210194","0.45792866229210194","0.45792866229210194","67","67","67","0.4100617980703195","0.4100617980703195","0.4100617980703195","67","67","67","0.36567856987948166","0.36567856987948166","0.36567856987948166","67","67","67"
"2545","1.1101353381911474","1.1101353381911474","1.1101353381911474","68","68","68","0.42824685117482353","0.42824685117482353","0.42824685117482353","68","68","68","0.38210138755291284","0.38210138755291284","0.38210138755291284","68","68","68","0.33666562509669595","0.33666562509669595","0.33666562509669595","68","68","68"
"2550","1.0761068255683393","1.0761068255683393","1.0761068255683393","69","69","69","0.40197346221897773","0.40197346221897773","0.40197346221897773","69","69","69","0.35616740735635277","0.35616740735635277","0.35616740735635277","69","69","69","0.30928606396496544","0.30928606396496544","0.30928606396496544","69","69","69"
"2555","1.0558798147454005","1.0558798147454005","1.0558798147454005","70","70","70","0.3877319313868976","0.3877319313868976","0.3877319313868976","70","70","70","0.3429608186340435","0.3429608186340435","0.3429608186340435","70","70","70","0.29479333517004136","0.29479333517004136","0.29479333517004136","70","70","70"
"2560","1.0434052950511992","1.0434052950511992","1.0434052950511992","71","71","71","0.37717863766629717","0.37717863766629717","0.37717863766629717","71","71","71","0.33648215457845004","0.33648215457845004","0.33648215457845004","71","71","71","0.2868773107960812","0.2868773107960812","0.2868773107960812","71","71","71"
"2565","1.0486733978932885","1.0486733978932885","1.0486733978932885","72","72","72","0.37644943796058894","0.37644943796058894","0.37644943796058894","72","72","72","0.33301139469061053","0.33301139469061053","0.33301139469061053","72","72","72","0.28072437706148734","0.28072437706148734","0.28072437706148734","72","72","72"
"2570","1.057078769010338","1.057078769010338","1.057078769010338","73","73","73","0.3711314150059307","0.3711314150059307","0.3711314150059307","73","73","73","0.32878350320626026","0.32878350320626026","0.32878350320626026","73","73","73","0.27467765570708874","0.27467765570708874","0.27467765570708874","73","73","73"
"2575","1.0378801455905025","1.0378801455905025","1.0378801455905025","74","74","74","0.36048640249148095","0.36048640249148095","0.36048640249148095","74","74","74","0.3196485797773808","0.3196485797773808","0.3196485797773808","74","74","74","0.27315660908327377","0.27315660908327377","0.27315660908327377","74","74","74"
"2580","1.0086605119265108","1.0086605119265108","1.0086605119265108","75","75","75","0.3417508996092271","0.3417508996092271","0.3417508996092271","75","75","75","0.3029064062858621","0.3029064062858621","0.3029064062858621","75","75","75","0.25734331970025875","0.25734331970025875","0.25734331970025875","75","75","75"
"2585","0.9803767470867164","0.9803767470867164","0.9803767470867164","76","76","76","0.3249698631761949","0.3249698631761949","0.3249698631761949","76","76","76","0.28664919170174263","0.28664919170174263","0.28664919170174263","76","76","76","0.24010992104047962","0.24010992104047962","0.24010992104047962","76","76","76"
"2590","0.962057844410978","0.962057844410978","0.962057844410978","77","77","77","0.31667164449790863","0.31667164449790863","0.31667164449790863","77","77","77","0.28215027958976746","0.28215027958976746","0.28215027958976746","77","77","77","0.23191468415126099","0.23191468415126099","0.23191468415126099","77","77","77"
