"iter","env2_sgd_2500-3000 - EMA/KL_Div","env2_sgd_2500-3000 - EMA/KL_Div__MIN","env2_sgd_2500-3000 - EMA/KL_Div__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - EMA/KL_Div","env2_lion_shock_2500-3000 - EMA/KL_Div__MIN","env2_lion_shock_2500-3000 - EMA/KL_Div__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - EMA/KL_Div","env2_muon_shock_2500-3000 - EMA/KL_Div__MIN","env2_muon_shock_2500-3000 - EMA/KL_Div__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - EMA/KL_Div","env2_adamw_shock_2500-3000 - EMA/KL_Div__MIN","env2_adamw_shock_2500-3000 - EMA/KL_Div__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"2480","0.0028791782746867348","0.0028791782746867348","0.0028791782746867348","55","55","55","0.0017544359618123138","0.0017544359618123138","0.0017544359618123138","55","55","55","0.003115532885340679","0.003115532885340679","0.003115532885340679","55","55","55","0.006420551543564214","0.006420551543564214","0.006420551543564214","55","55","55"
"2485","0.0027803900529058995","0.0027803900529058995","0.0027803900529058995","56","56","56","0.0017224711598779574","0.0017224711598779574","0.0017224711598779574","56","56","56","0.0030084271769915912","0.0030084271769915912","0.0030084271769915912","56","56","56","0.006443716217991289","0.006443716217991289","0.006443716217991289","56","56","56"
"2490","0.0027711037174494445","0.0027711037174494445","0.0027711037174494445","57","57","57","0.0017847036956959892","0.0017847036956959892","0.0017847036956959892","57","57","57","0.003024454420985547","0.003024454420985547","0.003024454420985547","57","57","57","0.006575553220405618","0.006575553220405618","0.006575553220405618","57","57","57"
"2495","0.002804404300252753","0.002804404300252753","0.002804404300252753","58","58","58","0.0018154295859410799","0.0018154295859410799","0.0018154295859410799","58","58","58","0.0031532484187387147","0.0031532484187387147","0.0031532484187387147","58","58","58","0.006411016290617633","0.006411016290617633","0.006411016290617633","58","58","58"
"2500","0.016844621371135092","0.016844621371135092","0.016844621371135092","59","59","59","0.010192425303656953","0.010192425303656953","0.010192425303656953","59","59","59","0.016930479004716132","0.016930479004716132","0.016930479004716132","59","59","59","0.014450381959315962","0.014450381959315962","0.014450381959315962","59","59","59"
"2505","0.020194090896704472","0.020194090896704472","0.020194090896704472","60","60","60","0.013241766403946715","0.013241766403946715","0.013241766403946715","60","60","60","0.01940741244326951","0.01940741244326951","0.01940741244326951","60","60","60","0.019460595204759137","0.019460595204759137","0.019460595204759137","60","60","60"
"2510","0.01819911371022325","0.01819911371022325","0.01819911371022325","61","61","61","0.014753830122115253","0.014753830122115253","0.014753830122115253","61","61","61","0.016421770813807805","0.016421770813807805","0.016421770813807805","61","61","61","0.022014964107240673","0.022014964107240673","0.022014964107240673","61","61","61"
"2515","0.016372298354296783","0.016372298354296783","0.016372298354296783","62","62","62","0.013813484540186636","0.013813484540186636","0.013813484540186636","62","62","62","0.01384833394736625","0.01384833394736625","0.01384833394736625","62","62","62","0.01933886324580566","0.01933886324580566","0.01933886324580566","62","62","62"
"2520","0.015152998887961212","0.015152998887961212","0.015152998887961212","63","63","63","0.011382250948133428","0.011382250948133428","0.011382250948133428","63","63","63","0.012130416228131189","0.012130416228131189","0.012130416228131189","63","63","63","0.017895404688496677","0.017895404688496677","0.017895404688496677","63","63","63"
"2525","0.013538284363175342","0.013538284363175342","0.013538284363175342","64","64","64","0.009337453448909174","0.009337453448909174","0.009337453448909174","64","64","64","0.010542050172085388","0.010542050172085388","0.010542050172085388","64","64","64","0.015404073158226264","0.015404073158226264","0.015404073158226264","64","64","64"
