"iter","env2_sgd_2500-3000 - train/z_loss","env2_sgd_2500-3000 - train/z_loss__MIN","env2_sgd_2500-3000 - train/z_loss__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - train/z_loss","env2_lion_shock_2500-3000 - train/z_loss__MIN","env2_lion_shock_2500-3000 - train/z_loss__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - train/z_loss","env2_muon_shock_2500-3000 - train/z_loss__MIN","env2_muon_shock_2500-3000 - train/z_loss__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - train/z_loss","env2_adamw_shock_2500-3000 - train/z_loss__MIN","env2_adamw_shock_2500-3000 - train/z_loss__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"2450","0.9458174109458923","0.9458174109458923","0.9458174109458923","49","49","49","0.4086141511797905","0.4086141511797905","0.4086141511797905","49","49","49","0.9067874699831009","0.9067874699831009","0.9067874699831009","49","49","49","0.4812641218304634","0.4812641218304634","0.4812641218304634","49","49","49"
"2455","0.6209565848112106","0.6209565848112106","0.6209565848112106","50","50","50","0.43901051580905914","0.43901051580905914","0.43901051580905914","50","50","50","0.8723894357681274","0.8723894357681274","0.8723894357681274","50","50","50","0.4893042594194412","0.4893042594194412","0.4893042594194412","50","50","50"
"2460","0.6038408577442169","0.6038408577442169","0.6038408577442169","51","51","51","0.40484365075826645","0.40484365075826645","0.40484365075826645","51","51","51","0.851967379450798","0.851967379450798","0.851967379450798","51","51","51","0.4351651221513748","0.4351651221513748","0.4351651221513748","51","51","51"
"2465","0.6820768266916275","0.6820768266916275","0.6820768266916275","52","52","52","0.40043187886476517","0.40043187886476517","0.40043187886476517","52","52","52","0.8168351650238037","0.8168351650238037","0.8168351650238037","52","52","52","0.475588895380497","0.475588895380497","0.475588895380497","52","52","52"
"2470","0.9360680878162384","0.9360680878162384","0.9360680878162384","53","53","53","0.4156475141644478","0.4156475141644478","0.4156475141644478","53","53","53","0.9835076481103897","0.9835076481103897","0.9835076481103897","53","53","53","0.44041239470243454","0.44041239470243454","0.44041239470243454","53","53","53"
"2475","0.8453740626573563","0.8453740626573563","0.8453740626573563","54","54","54","0.40297355502843857","0.40297355502843857","0.40297355502843857","54","54","54","0.8595524877309799","0.8595524877309799","0.8595524877309799","54","54","54","0.45667675137519836","0.45667675137519836","0.45667675137519836","54","54","54"
"2480","0.6026200354099274","0.6026200354099274","0.6026200354099274","55","55","55","0.3949640542268753","0.3949640542268753","0.3949640542268753","55","55","55","0.8114469945430756","0.8114469945430756","0.8114469945430756","55","55","55","0.44722917675971985","0.44722917675971985","0.44722917675971985","55","55","55"
"2485","0.6819612234830856","0.6819612234830856","0.6819612234830856","56","56","56","0.41346827149391174","0.41346827149391174","0.41346827149391174","56","56","56","0.8838982135057449","0.8838982135057449","0.8838982135057449","56","56","56","0.4828547313809395","0.4828547313809395","0.4828547313809395","56","56","56"
"2490","0.8637233972549438","0.8637233972549438","0.8637233972549438","57","57","57","0.40354978293180466","0.40354978293180466","0.40354978293180466","57","57","57","0.8840442299842834","0.8840442299842834","0.8840442299842834","57","57","57","0.47815417498350143","0.47815417498350143","0.47815417498350143","57","57","57"
"2495","0.6248442828655243","0.6248442828655243","0.6248442828655243","58","58","58","0.4241872653365135","0.4241872653365135","0.4241872653365135","58","58","58","0.8702370524406433","0.8702370524406433","0.8702370524406433","58","58","58","0.4558771774172783","0.4558771774172783","0.4558771774172783","58","58","58"
